,name,brand,ratting,price,Công nghệ màn hình,Độ phân giải,Màn hình rộng,Mặt kính cảm ứng,Quay phim,Đèn Flash,Chụp ảnh nâng cao,Thông tin khác,Hệ điều hành,Chipset (hãng SX CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Bộ nhớ trong,Thẻ nhớ ngoài,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,Kích thước,Trọng lượng,Dung lượng pin,Loại pin,Công nghệ pin,Tính năng đặc biệt,Videocall,Bộ nhớ còn lại (khả dụng),Bảo mật nâng cao,Ghi âm,Nghe nhạc,Xem phim,Thời điểm ra mắt,Radio
144,Samsung Galaxy S10 5G SM-G977 (8GB|256GB) (Likenew),Samsung,4,"
6.790.000 ₫ ",Dynamic AMOLED,10MP + TOF,6.7 inches,Corning Gorilla Glass 6,"Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@60fps",Có,"Chụp ảnh xóa phông, Chế độ Slow Motion, Chế độ Time-Lapse, Chế độ chụp ban đêm (ánh sáng yếu), A.I Camera, Lấy nét theo pha, Điều chỉnh khẩu độ, Super Slow Motion (quay siêu chậm), Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống","Camera góc rộng, Selfie ngược sáng HDR, Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Nhận diện khuôn mặt, Chụp bằng giọng nói, Selfie bằng cử chỉ, Flash màn hình, Sticker AR (biểu tượng thực tế ảo), Quay phim 4K, Chụp ảnh xoá phông",Android 9.0,Exynos 9820 Octa,Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55),Mali-G76 MP12,8 GB,256 GB,,Hỗ trợ 5G,,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.0, A2DP, LE, aptX",USB Type-C,3.5mm,,Nguyên khối,Khung kim loại + mặt kính cường lực,162.6 x 77.1 x 7.9 mm,198 g,4500mAh,Pin chuẩn Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây, Sạc ngược không dây","Dolby Audio™, Chuẩn Kháng nước, Chuẩn kháng bụi, Đèn pin, Sạc pin nhanh, Chặn cuộc gọi, Ghi âm cuộc gọi, Chặn tin nhắn,...",Có,,"Mở khóa bằng khuôn mặt, Mở khoá vân tay dưới màn hình","Có, microphone chuyên dụng chống ồn","H.265, 3GP, MP4, AVI, WMV, H.264(MPEG4-AVC), DivX, WMV9, Xvid","Lossless, Midi, MP3, WAV, WMA, AAC++, eAAC+, OGG, AC3, FLAC",2019,Không
145,Samsung Galaxy S21 Plus 5G (8GB|256GB) Chính Hãng,Samsung,4,"
22.390.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,256 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
146,Samsung Galaxy A52 (8GB|128GB) Chính hãng (BHĐT),Samsung,4,"
7.790.000 ₫ ",Super AMOLED,32 MP,6.5 inches,,"4K@30fps, 1080p@30/120fps; gyro-EIS",,,,"Android 11, One UI 3.0",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core,Adreno 618,8 GB,128 GB,Có,,,,,,,,,,,,,4500 mAh,,,,,,,,,,,
147,Vsmart Star 5 (3GB|32GB),Vsmart,4,"
1.990.000 ₫ ",IPS LCD,8 MP,6.52 inch,,FullHD 1080p@30fps,Có,"Siêu cận (Macro), Ban đêm (Night Mode), Xóa phông, A.I Camera, Tự động lấy nét (AF) HDR","Xóa phông, Tự động lấy nét (AF), HDR, A.I Camera, Làm đẹp",Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.5 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,3 GB,32GB,"MicroSD, hỗ trợ tối đa 256 GB",Hỗ trợ 4G,Nano 2 SIM,,,,,,,Nguyên khối,Khung & Mặt lưng nhựa,,,5000 mAh,Li-Po,Sạc pin nhanh 18W,,,,,,,,2/2021,
148,Redmi Note 10s (8GB|128GB) Chính Hãng,Xiaomi,4,"
5.990.000 ₫ ",AMOLED,13 MP,6.43 inches,Kính cường lực Corning Gorilla Glass 3,"HD 720p@30fps, FullHD 1080p@30fps",Flash-LED,,,"Android 11, MIUI 12",Mediatek Helio G95 (12 nm),Octa-core,Mali-G76 MC4,6/8 GB,64/128 GB,Có,4G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.1, A2DP, LE",USB Type-C 2.0,3.5 mm,OTG,Nguyên khối,Khung kim loại & Mặt lưng nhựa,Dài 160.5 mm - Ngang 74.5 mm - Dày 8.3 mm,178.8 g,5000 mAh,Li-Po,Sạc nhanh 33W,,,,,,,,,
149,Samsung Galaxy S21 FE (Fan Edition),Samsung,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Samsung Galaxy S21 Plus 5G (8GB|128GB) Chính Hãng (BHĐT),Samsung,4,"
15.890.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,128 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
151,Samsung Galaxy Z Fold2 5G (Phiên bản Spring 2021),Samsung,4,"
33.990.000 ₫ ",Foldable Dynamic AMOLED 2X,10 MP  + 10 MP,7.6 inches,,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10",,,,Android 10,Qualcomm SM8250 Snapdragon 865+,Octa-core,Adreno 650,12 GB,256 GB,Không,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",,"5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0",,,,,,,4500 mAh,,,,,,,,,,,
152,Samsung Galaxy S21 Ultra 5G (12GB|128GB) Chính Hãng,Samsung,4,"
23.990.000 ₫ ",Dynamic AMOLED 2X,40 MP,6.8 inches,,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,12 GB,128 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,5.000 mAh,,,,,,,,,,,
153,Samsung Galaxy S21 Plus 5G (8GB|128GB) Chính Hãng,Samsung,4,"
19.590.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,128 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
154,Realme C12 (3GB| 32GB),Realme,4,"
3.190.000 ₫ ",LCD,5 MP,6.5 inch,,,,,,Android 10,MediaTek Helio G35,,,3 GB,32 GB,Có,,2 Nano SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot",A-GPS,v5.0,Micro USB,,,,,,,6000 mAh,,,,,,,,,,,
155,Samsung Galaxy Note 10 Plus (12GB|256GB) Chính hãng (Likenew),Điện thoại cũ,4,"
11.390.000 ₫ ",Dynamic AMOLED,"10MP (f/2.2, 80 độ, tự động lấy nét)",6.8 inches,Corning Gorilla Glass,"2160p@60fps, 1080p@240fps, 720p@960fps",,,,Android 9 Pie One UI 1.5,Snapdragon 855/Exynos 9825,Octa-core,Adreno 640 / Mali-G76 MP12,12 GB,256GB,Có,,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.0, A2DP, LE, aptX","3.1, Type-C 1.0",,,,,,,"4.300mAh (sạc nhanh 45W, sạc không dây 15W)",,,,,,,,,,,
156,Samsung Galaxy Z Fold2 5G Chính Hãng,Samsung,4,"
29.900.000 ₫ ",Foldable Dynamic AMOLED 2X,10 MP  + 10 MP,7.6 inches,,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10",,,,Android 10,Qualcomm SM8250 Snapdragon 865+,Octa-core,Adreno 650,12 GB,256 GB,Không,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",,"5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0",,,,,,,4500 mAh,,,,,,,,,,,
157,Nokia 105 TA-1174 2 SIM (2019),Nokia,4,"
399.000 ₫ ",TFT,Không,"1.77""",Không có cảm ứng,Không,Không,Không,,,,,,4 MB,4 MB,,"2G, Không kết nối internet",2 SIM thường,,,,Micro USB,3.5 mm,,,,,,800 mAh,,,Đèn pin,,,,,MP3,,,Có
158,Nokia 110 TA-1192 2 SIM (2019),Nokia,4,"
550.000 ₫ ",TFT,QVGA 320x240,"1.77""",Không có cảm ứng,Có quay phim,Không,Không,,,,,,,4 MB,"MicroSD, hỗ trợ tối đa 32 GB","2G, Không kết nối internet",2 SIM thường,,,,Micro USB,3.5 mm,,,,,,800 mAh,Pin chuẩn Li-Ion,,Đèn pin,,,,,MP3,,,Có
159,Samsung Galaxy S10 5G SM-G977 (8GB|256GB) (Likenew),Samsung,4,"
6.790.000 ₫ ",Dynamic AMOLED,10MP + TOF,6.7 inches,Corning Gorilla Glass 6,"Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@60fps",Có,"Chụp ảnh xóa phông, Chế độ Slow Motion, Chế độ Time-Lapse, Chế độ chụp ban đêm (ánh sáng yếu), A.I Camera, Lấy nét theo pha, Điều chỉnh khẩu độ, Super Slow Motion (quay siêu chậm), Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống","Camera góc rộng, Selfie ngược sáng HDR, Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Nhận diện khuôn mặt, Chụp bằng giọng nói, Selfie bằng cử chỉ, Flash màn hình, Sticker AR (biểu tượng thực tế ảo), Quay phim 4K, Chụp ảnh xoá phông",Android 9.0,Exynos 9820 Octa,Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55),Mali-G76 MP12,8 GB,256 GB,,Hỗ trợ 5G,,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.0, A2DP, LE, aptX",USB Type-C,3.5mm,,Nguyên khối,Khung kim loại + mặt kính cường lực,162.6 x 77.1 x 7.9 mm,198 g,4500mAh,Pin chuẩn Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây, Sạc ngược không dây","Dolby Audio™, Chuẩn Kháng nước, Chuẩn kháng bụi, Đèn pin, Sạc pin nhanh, Chặn cuộc gọi, Ghi âm cuộc gọi, Chặn tin nhắn,...",Có,,"Mở khóa bằng khuôn mặt, Mở khoá vân tay dưới màn hình","Có, microphone chuyên dụng chống ồn","H.265, 3GP, MP4, AVI, WMV, H.264(MPEG4-AVC), DivX, WMV9, Xvid","Lossless, Midi, MP3, WAV, WMA, AAC++, eAAC+, OGG, AC3, FLAC",2019,Không
160,Samsung Galaxy S21 Plus 5G (8GB|256GB) Chính Hãng,Samsung,4,"
22.390.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,256 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
161,Samsung Galaxy A52 (8GB|128GB) Chính hãng (BHĐT),Samsung,4,"
7.790.000 ₫ ",Super AMOLED,32 MP,6.5 inches,,"4K@30fps, 1080p@30/120fps; gyro-EIS",,,,"Android 11, One UI 3.0",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core,Adreno 618,8 GB,128 GB,Có,,,,,,,,,,,,,4500 mAh,,,,,,,,,,,
162,Vsmart Star 5 (3GB|32GB),Vsmart,4,"
1.990.000 ₫ ",IPS LCD,8 MP,6.52 inch,,FullHD 1080p@30fps,Có,"Siêu cận (Macro), Ban đêm (Night Mode), Xóa phông, A.I Camera, Tự động lấy nét (AF) HDR","Xóa phông, Tự động lấy nét (AF), HDR, A.I Camera, Làm đẹp",Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.5 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,3 GB,32GB,"MicroSD, hỗ trợ tối đa 256 GB",Hỗ trợ 4G,Nano 2 SIM,,,,,,,Nguyên khối,Khung & Mặt lưng nhựa,,,5000 mAh,Li-Po,Sạc pin nhanh 18W,,,,,,,,2/2021,
163,Redmi Note 10s (8GB|128GB) Chính Hãng,Xiaomi,4,"
5.990.000 ₫ ",AMOLED,13 MP,6.43 inches,Kính cường lực Corning Gorilla Glass 3,"HD 720p@30fps, FullHD 1080p@30fps",Flash-LED,,,"Android 11, MIUI 12",Mediatek Helio G95 (12 nm),Octa-core,Mali-G76 MC4,6/8 GB,64/128 GB,Có,4G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.1, A2DP, LE",USB Type-C 2.0,3.5 mm,OTG,Nguyên khối,Khung kim loại & Mặt lưng nhựa,Dài 160.5 mm - Ngang 74.5 mm - Dày 8.3 mm,178.8 g,5000 mAh,Li-Po,Sạc nhanh 33W,,,,,,,,,
164,Samsung Galaxy S21 FE (Fan Edition),Samsung,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Samsung Galaxy S21 Plus 5G (8GB|128GB) Chính Hãng (BHĐT),Samsung,4,"
15.890.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,128 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
166,Samsung Galaxy Z Fold2 5G (Phiên bản Spring 2021),Samsung,4,"
33.990.000 ₫ ",Foldable Dynamic AMOLED 2X,10 MP  + 10 MP,7.6 inches,,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10",,,,Android 10,Qualcomm SM8250 Snapdragon 865+,Octa-core,Adreno 650,12 GB,256 GB,Không,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",,"5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0",,,,,,,4500 mAh,,,,,,,,,,,
167,Samsung Galaxy S21 Ultra 5G (12GB|128GB) Chính Hãng,Samsung,4,"
23.990.000 ₫ ",Dynamic AMOLED 2X,40 MP,6.8 inches,,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,12 GB,128 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,5.000 mAh,,,,,,,,,,,
168,Samsung Galaxy S21 Plus 5G (8GB|128GB) Chính Hãng,Samsung,4,"
19.590.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,128 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
169,Realme C12 (3GB| 32GB),Realme,4,"
3.190.000 ₫ ",LCD,5 MP,6.5 inch,,,,,,Android 10,MediaTek Helio G35,,,3 GB,32 GB,Có,,2 Nano SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, Wi-Fi hotspot",A-GPS,v5.0,Micro USB,,,,,,,6000 mAh,,,,,,,,,,,
170,Samsung Galaxy Note 10 Plus (12GB|256GB) Chính hãng (Likenew),Điện thoại cũ,4,"
11.390.000 ₫ ",Dynamic AMOLED,"10MP (f/2.2, 80 độ, tự động lấy nét)",6.8 inches,Corning Gorilla Glass,"2160p@60fps, 1080p@240fps, 720p@960fps",,,,Android 9 Pie One UI 1.5,Snapdragon 855/Exynos 9825,Octa-core,Adreno 640 / Mali-G76 MP12,12 GB,256GB,Có,,Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.0, A2DP, LE, aptX","3.1, Type-C 1.0",,,,,,,"4.300mAh (sạc nhanh 45W, sạc không dây 15W)",,,,,,,,,,,
171,Samsung Galaxy Z Fold2 5G Chính Hãng,Samsung,4,"
29.900.000 ₫ ",Foldable Dynamic AMOLED 2X,10 MP  + 10 MP,7.6 inches,,"4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10",,,,Android 10,Qualcomm SM8250 Snapdragon 865+,Octa-core,Adreno 650,12 GB,256 GB,Không,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",,"5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0",,,,,,,4500 mAh,,,,,,,,,,,
172,Nokia 105 TA-1174 2 SIM (2019),Nokia,4,"
399.000 ₫ ",TFT,Không,"1.77""",Không có cảm ứng,Không,Không,Không,,,,,,4 MB,4 MB,,"2G, Không kết nối internet",2 SIM thường,,,,Micro USB,3.5 mm,,,,,,800 mAh,,,Đèn pin,,,,,MP3,,,Có
173,Nokia 110 TA-1192 2 SIM (2019),Nokia,4,"
550.000 ₫ ",TFT,QVGA 320x240,"1.77""",Không có cảm ứng,Có quay phim,Không,Không,,,,,,,4 MB,"MicroSD, hỗ trợ tối đa 32 GB","2G, Không kết nối internet",2 SIM thường,,,,Micro USB,3.5 mm,,,,,,800 mAh,Pin chuẩn Li-Ion,,Đèn pin,,,,,MP3,,,Có
174,Samsung Galaxy S10 5G SM-G977 (8GB|256GB) (Likenew),Samsung,4,"
6.790.000 ₫ ",Dynamic AMOLED,10MP + TOF,6.7 inches,Corning Gorilla Glass 6,"Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@60fps",Có,"Chụp ảnh xóa phông, Chế độ Slow Motion, Chế độ Time-Lapse, Chế độ chụp ban đêm (ánh sáng yếu), A.I Camera, Lấy nét theo pha, Điều chỉnh khẩu độ, Super Slow Motion (quay siêu chậm), Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Chống","Camera góc rộng, Selfie ngược sáng HDR, Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Nhận diện khuôn mặt, Chụp bằng giọng nói, Selfie bằng cử chỉ, Flash màn hình, Sticker AR (biểu tượng thực tế ảo), Quay phim 4K, Chụp ảnh xoá phông",Android 9.0,Exynos 9820 Octa,Octa-core (2x2.7 GHz Mongoose M4 & 2x2.3 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55),Mali-G76 MP12,8 GB,256 GB,,Hỗ trợ 5G,,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.0, A2DP, LE, aptX",USB Type-C,3.5mm,,Nguyên khối,Khung kim loại + mặt kính cường lực,162.6 x 77.1 x 7.9 mm,198 g,4500mAh,Pin chuẩn Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh, Sạc pin không dây, Sạc ngược không dây","Dolby Audio™, Chuẩn Kháng nước, Chuẩn kháng bụi, Đèn pin, Sạc pin nhanh, Chặn cuộc gọi, Ghi âm cuộc gọi, Chặn tin nhắn,...",Có,,"Mở khóa bằng khuôn mặt, Mở khoá vân tay dưới màn hình","Có, microphone chuyên dụng chống ồn","H.265, 3GP, MP4, AVI, WMV, H.264(MPEG4-AVC), DivX, WMV9, Xvid","Lossless, Midi, MP3, WAV, WMA, AAC++, eAAC+, OGG, AC3, FLAC",2019,Không
175,Samsung Galaxy S21 Plus 5G (8GB|256GB) Chính Hãng,Samsung,4,"
22.390.000 ₫ ",Dynamic AMOLED 2X,10 MP,"6,7 inch",,"FullHD 1080p@240fps, FullHD 1080p@60fps, FullHD 1080p@30fps, 4K 2160p@30fps, 4K 2160p@60fps, HD 720p@960fps, 8K 4320p@24fps",,,,"Android 11, giao diện One UI 3.1",Exynos 2100 8 nhân,"1 nhân 2.9 GHz, 3 nhân 2.8 GHz & 4 nhân 2.2 GHz",Mali-G78 MP14,8 GB,256 GB,Không,5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct","BDS, GALILEO, A-GPS, GLONASS","v5.0, apt-X, A2DP",Type-C,Type-C,,,,,,4.800 mAh,,,,,,,,,,,
176,Samsung Galaxy A52 (8GB|128GB) Chính hãng (BHĐT),Samsung,4,"
7.790.000 ₫ ",Super AMOLED,32 MP,6.5 inches,,"4K@30fps, 1080p@30/120fps; gyro-EIS",,,,"Android 11, One UI 3.0",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core,Adreno 618,8 GB,128 GB,Có,,,,,,,,,,,,,4500 mAh,,,,,,,,,,,
177,Vsmart Star 5 (3GB|32GB),Vsmart,4,"
1.990.000 ₫ ",IPS LCD,8 MP,6.52 inch,,FullHD 1080p@30fps,Có,"Siêu cận (Macro), Ban đêm (Night Mode), Xóa phông, A.I Camera, Tự động lấy nét (AF) HDR","Xóa phông, Tự động lấy nét (AF), HDR, A.I Camera, Làm đẹp",Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.5 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,3 GB,32GB,"MicroSD, hỗ trợ tối đa 256 GB",Hỗ trợ 4G,Nano 2 SIM,,,,,,,Nguyên khối,Khung & Mặt lưng nhựa,,,5000 mAh,Li-Po,Sạc pin nhanh 18W,,,,,,,,2/2021,
178,Redmi Note 10s (8GB|128GB) Chính Hãng,Xiaomi,4,"
5.990.000 ₫ ",AMOLED,13 MP,6.43 inches,Kính cường lực Corning Gorilla Glass 3,"HD 720p@30fps, FullHD 1080p@30fps",Flash-LED,,,"Android 11, MIUI 12",Mediatek Helio G95 (12 nm),Octa-core,Mali-G76 MC4,6/8 GB,64/128 GB,Có,4G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, BDS, GALILEO","5.1, A2DP, LE",USB Type-C 2.0,3.5 mm,OTG,Nguyên khối,Khung kim loại & Mặt lưng nhựa,Dài 160.5 mm - Ngang 74.5 mm - Dày 8.3 mm,178.8 g,5000 mAh,Li-Po,Sạc nhanh 33W,,,,,,,,,
